% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.823472984e+02 +6.823472984e+02 +1.682347298e+03 +1.682347298e+03 +9.4952e-01 +7.6878e-01 +1.3296e+00 +2.2521e-01 +3.2941e-01 +5.5853e-01 +1.8157e+00 +2.2276e-01 +5.4734e-01 +2.1984e-01 +1.6797e+00 +1.4431e-01 +1.0759e+00 +1.1675e+00 +4.0083e-01 +8.2868e-01 +5.9387e-01 +3.9193e-01 +1.4920e+00 +6.2743e-01
8 +6.182624104e+02 +6.182624104e+02 +1.618262410e+03 +1.618262410e+03 +1.0544e+00 +9.2136e-01 +1.9728e+00 +1.9336e+00 +3.3991e-01 +8.4869e-02 +1.0406e+00 +1.4250e+00 +1.8691e+00 +7.2335e-01 +7.1585e-01 +5.1167e-01 +1.1158e+00 +1.3663e-02 +5.3635e-01 +8.1563e-01 +5.2920e-01 +1.1995e+00 +3.1306e-01 +1.3941e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.881052023e+03 +1.881052023e+03 +1.951082023e+03 +1.951082023e+03 +1.7907e+00 +1.6996e+00 +7.1020e-01 +8.5045e-01 +6.9710e-01 +1.2302e+00 +5.8135e-01 +3.6439e-01 +1.0376e+00 +1.5457e-01 +5.0577e-01 +4.3743e-01 +5.4599e-01 +1.0893e+00 +1.9327e+00 +5.5600e-01 +1.1867e+00 +1.4179e+00 +1.3539e+00 +1.6355e+00
5 +1.559313185e+03 +1.559313185e+03 +1.629343185e+03 +1.629343185e+03 +1.5416e+00 +1.3267e+00 +5.7189e-01 +3.1638e-01 +1.7065e+00 +7.9504e-01 +1.3985e-01 +1.9361e+00 +4.2556e-01 +3.0607e-02 +1.0813e+00 +1.7654e+00 +1.5956e+00 +4.3542e-01 +1.4535e+00 +1.6901e+00 +7.8199e-01 +1.1945e+00 +1.3859e-01 +2.1829e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.782201444e+03 +1.782201444e+03 +1.733981444e+03 +1.733981444e+03 +1.5012e+00 +3.8645e-01 +1.0391e+00 +3.1702e-01 +1.2575e+00 +3.5403e-01 +1.9779e+00 +1.0899e+00 +1.9307e+00 +2.1609e-02 +9.2682e-01 +6.1487e-01 +1.1131e+00 +1.1046e+00 +1.6137e-02 +3.5868e-01 +5.2083e-01 +2.0875e-01 +4.8788e-01 +8.1237e-01
2 +1.408261755e+03 +1.408261755e+03 +1.360041755e+03 +1.360041755e+03 +6.7999e-01 +2.5006e-01 +6.9434e-02 +1.8004e+00 +1.9942e+00 +1.8780e+00 +8.5947e-01 +2.1094e-01 +1.0445e+00 +1.4478e+00 +1.0367e+00 +9.2021e-02 +1.4168e+00 +1.1015e+00 +1.1391e+00 +4.5560e-01 +1.6823e+00 +1.6692e+00 +6.8406e-01 +7.4021e-01
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.136429716e+03 +2.136429716e+03 +2.161899716e+03 +2.161899716e+03 +1.4425e+00 +5.5738e-01 +1.5529e+00 +1.6390e+00 +1.2605e+00 +1.3213e+00 +1.9921e+00 +9.8481e-01 +1.1764e+00 +7.9670e-02 +1.0040e+00 +9.2009e-01 +1.3287e+00 +1.6914e-01 +1.7371e-01 +8.5708e-01 +5.1893e-01 +1.8161e+00 +8.9556e-01 +5.2322e-01
2 +1.572462161e+03 +1.572462161e+03 +1.597932161e+03 +1.597932161e+03 +3.1550e-01 +1.3981e+00 +9.9386e-01 +7.3466e-01 +1.8184e+00 +1.3885e+00 +1.6294e+00 +3.6239e-01 +8.6939e-01 +8.7673e-01 +1.8393e-01 +7.3849e-01 +1.6599e+00 +1.1053e+00 +1.7220e+00 +7.4149e-01 +1.4466e-01 +1.0589e+00 +9.4519e-01 +1.2117e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.889443310e+02 +7.889443310e+02 +6.881343310e+02 +6.881343310e+02 +1.0204e-01 +2.1594e-01 +1.6838e+00 +7.1302e-01 +5.1496e-01 +3.4715e-01 +4.8537e-01 +7.7110e-01 +6.1270e-01 +2.8608e-01 +6.4395e-01 +8.3672e-01 +6.7508e-01 +1.8102e+00 +1.7898e+00 +1.6907e+00 +1.2351e+00 +1.9957e+00 +8.7536e-01 +5.1248e-01
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.718161185e+02 +7.718161185e+02 +1.173546119e+03 +1.173546119e+03 +1.6875e+00 +1.2293e+00 +1.3471e+00 +1.5215e+00 +1.0862e+00 +1.4798e+00 +1.6471e+00 +1.8525e+00 +7.8242e-01 +9.6349e-01 +3.1719e-01 +3.0543e-01 +1.5114e+00 +5.9909e-02 +6.2588e-01 +3.1529e-01 +3.8266e-01 +1.3348e+00 +2.8743e-01 +1.5956e+00
4 +6.140525492e+02 +6.140525492e+02 +1.015782549e+03 +1.015782549e+03 +8.6903e-01 +1.5581e+00 +1.9506e+00 +7.1778e-01 +4.9472e-01 +2.4379e-01 +1.4765e+00 +2.1922e-01 +1.6436e+00 +6.9962e-01 +6.1859e-02 +1.9530e+00 +1.2693e+00 +4.0113e-01 +1.2727e+00 +5.7730e-01 +4.4888e-01 +1.6617e+00 +1.6364e+00 +1.2880e+00
% function evaluation | noise-free fitness - Fopt (-9.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.348959713e+02 +5.348959713e+02 +4.391459713e+02 +4.391459713e+02 +1.1249e-02 +3.9331e-01 +5.6877e-01 +5.4737e-01 +2.9875e-01 +1.0529e+00 +1.0713e+00 +1.6655e+00 +6.0394e-01 +1.7731e+00 +1.7337e+00 +8.4861e-01 +1.2682e+00 +8.7716e-01 +5.4062e-01 +7.0972e-01 +9.6195e-01 +3.7443e-01 +1.6316e+00 +7.8638e-01
7 +3.920363236e+02 +3.920363236e+02 +2.962863236e+02 +2.962863236e+02 +1.2210e+00 +2.7787e-01 +4.8607e-01 +1.6624e+00 +1.6730e+00 +3.5990e-01 +1.2226e+00 +3.8305e-01 +6.4763e-01 +1.0647e+00 +1.9026e+00 +2.5426e-01 +1.9109e+00 +3.5184e-01 +8.0597e-01 +2.9225e-01 +9.1003e-02 +8.5630e-01 +1.6506e+00 +2.2195e-01
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.615100600e+02 +7.615100600e+02 +6.701500600e+02 +6.701500600e+02 +1.9234e+00 +1.1288e+00 +1.1100e-01 +1.2500e+00 +8.9225e-01 +1.4993e+00 +1.3732e+00 +3.3243e-01 +1.4322e-01 +1.3450e-01 +7.7033e-01 +1.9458e+00 +1.7884e-01 +1.6406e+00 +1.0270e+00 +4.6679e-01 +1.5371e+00 +1.6620e+00 +2.6934e-01 +5.0687e-01
21 +5.924436468e+02 +5.924436468e+02 +5.010836468e+02 +5.010836468e+02 +6.8954e-01 +3.0385e-01 +6.5776e-02 +8.8364e-01 +1.9838e+00 +1.3582e+00 +1.1716e+00 +5.6706e-01 +1.9784e+00 +1.7653e-01 +7.6939e-01 +1.2195e+00 +4.2302e-01 +7.2846e-01 +1.1606e+00 +1.9626e-01 +2.4210e-01 +4.0903e-01 +5.6545e-01 +1.3423e+00
% function evaluation | noise-free fitness - Fopt (2.315300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.048945481e+02 +7.048945481e+02 +9.364245481e+02 +9.364245481e+02 +1.7512e+00 +1.7290e+00 +1.9754e+00 +1.9049e+00 +1.7985e+00 +1.2933e+00 +1.6039e+00 +1.4958e+00 +6.0198e-01 +1.2088e+00 +1.9527e+00 +1.4594e+00 +1.7090e+00 +9.4937e-01 +1.8585e+00 +7.7415e-01 +4.4864e-01 +9.6145e-02 +9.3852e-01 +1.5634e+00
3 +6.130511738e+02 +6.130511738e+02 +8.445811738e+02 +8.445811738e+02 +1.6312e+00 +1.4267e-01 +6.2472e-01 +7.8263e-01 +1.8462e+00 +1.7573e+00 +1.9758e+00 +5.1583e-01 +1.9554e+00 +1.6875e+00 +3.1183e-01 +7.7843e-01 +1.1637e+00 +7.8122e-01 +4.6831e-01 +1.4813e+00 +1.5930e+00 +4.5842e-01 +8.6080e-01 +1.8779e+00
% function evaluation | noise-free fitness - Fopt (-1.397700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.873804688e+03 +1.873804688e+03 +1.734034688e+03 +1.734034688e+03 +8.2016e-01 +2.0708e-01 +1.7419e+00 +6.7646e-01 +1.4678e+00 +9.7139e-01 +4.3346e-01 +1.9673e+00 +8.1750e-01 +1.4198e+00 +4.2771e-02 +1.9345e+00 +2.9582e-01 +5.7048e-01 +1.0332e+00 +1.4560e+00 +1.9318e+00 +1.7135e+00 +6.0440e-01 +1.5996e+00
2 +1.321166315e+03 +1.321166315e+03 +1.181396315e+03 +1.181396315e+03 +5.3602e-01 +1.1820e+00 +1.1745e+00 +5.9177e-02 +1.7510e+00 +2.6898e-01 +5.6211e-01 +7.8581e-01 +2.8434e-01 +2.1869e-01 +4.6338e-01 +5.6689e-01 +6.2066e-03 +1.6946e+00 +1.4907e+00 +1.1237e+00 +1.4711e+00 +2.7819e-01 +1.0387e+00 +1.3086e+00
% function evaluation | noise-free fitness - Fopt (9.830000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.854957275e+02 +7.854957275e+02 +7.953257275e+02 +7.953257275e+02 +1.1153e+00 +1.7557e+00 +4.9323e-01 +3.3623e-01 +1.3888e+00 +1.0179e+00 +3.9543e-01 +5.7438e-01 +1.2229e-01 +1.1615e+00 +9.3546e-01 +5.5119e-01 +1.6814e+00 +1.1063e+00 +1.1277e+00 +9.4496e-01 +8.5704e-01 +1.1547e+00 +1.4956e+00 +1.0355e+00
