% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.030712743e+03 +2.030712743e+03 +1.568622743e+03 +1.568622743e+03 +1.5814e-01 +7.1586e-01 +1.5989e+00 +6.0926e-01 +1.6832e-01 +1.2122e+00 +1.6893e+00 +1.7272e+00 +1.8770e+00 +9.0700e-01 +1.5422e+00 +1.3695e+00 +1.4888e+00 +5.3532e-01 +1.1886e+00 +1.4653e+00 +1.2201e+00 +1.2835e+00 +1.8082e+00 +1.3612e+00
6 +1.464418198e+03 +1.464418198e+03 +1.002328198e+03 +1.002328198e+03 +1.9497e+00 +6.1982e-01 +4.2103e-01 +1.0185e+00 +1.7724e+00 +8.1148e-01 +1.6782e+00 +1.5003e+00 +1.2351e+00 +1.9873e+00 +5.3948e-01 +9.4866e-02 +7.1338e-01 +4.0820e-01 +9.6601e-01 +1.5346e+00 +4.4568e-01 +9.2336e-01 +6.5803e-01 +9.4348e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.890741821e+03 +1.890741821e+03 +1.968401821e+03 +1.968401821e+03 +1.0543e+00 +1.7591e+00 +1.7363e+00 +1.2895e+00 +1.8881e+00 +6.2783e-01 +7.6177e-01 +9.7092e-01 +7.7195e-02 +4.4528e-01 +9.7851e-01 +1.0679e+00 +9.0894e-01 +1.4093e+00 +1.9972e+00 +5.1504e-01 +5.7813e-01 +1.1315e+00 +6.4748e-01 +1.0122e+00
3 +1.057773851e+03 +1.057773851e+03 +1.135433851e+03 +1.135433851e+03 +2.4904e-01 +1.7522e+00 +2.6762e-01 +1.5129e+00 +1.7125e+00 +1.6697e+00 +1.8344e+00 +3.5903e-01 +5.8746e-01 +6.5080e-01 +1.9679e+00 +9.3297e-01 +1.5027e+00 +1.7079e-01 +7.7936e-01 +1.8071e+00 +9.4487e-01 +2.5664e-01 +7.8964e-01 +1.9358e-01
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.232954980e+03 +1.232954980e+03 +1.348634980e+03 +1.348634980e+03 +1.1214e+00 +5.1001e-01 +1.6568e+00 +1.0486e-01 +9.0021e-01 +1.7567e+00 +1.2319e+00 +7.0244e-01 +7.6576e-01 +1.0376e+00 +1.6026e+00 +4.8596e-01 +5.1350e-01 +1.9000e+00 +1.9154e+00 +9.4849e-01 +7.7617e-01 +5.6714e-01 +9.2706e-01 +1.7357e+00
5 +9.776371348e+02 +9.776371348e+02 +1.093317135e+03 +1.093317135e+03 +1.6419e+00 +9.4551e-01 +8.1195e-01 +2.6668e-01 +1.8382e+00 +1.6131e+00 +5.0914e-01 +1.5736e-01 +3.4318e-01 +4.1897e-01 +1.1651e+00 +1.0554e+00 +1.1632e+00 +1.6865e+00 +3.1341e-01 +1.6291e+00 +1.3654e+00 +1.2913e+00 +5.8147e-01 +1.0861e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.585187337e+03 +1.585187337e+03 +1.581477337e+03 +1.581477337e+03 +8.1482e-01 +7.7062e-01 +9.1076e-01 +8.1927e-01 +1.5026e+00 +1.7597e+00 +1.7719e+00 +9.1143e-01 +8.9491e-01 +7.7991e-01 +1.9066e+00 +1.2613e+00 +6.4284e-01 +9.1439e-01 +6.5133e-01 +1.8358e+00 +2.2641e-01 +8.4085e-03 +7.0284e-01 +9.4734e-01
2 +1.181681438e+03 +1.181681438e+03 +1.177971438e+03 +1.177971438e+03 +7.8999e-01 +2.2942e-01 +6.4780e-01 +4.9137e-01 +5.8631e-01 +9.5736e-01 +1.4880e+00 +8.5209e-01 +3.0502e-01 +1.7449e+00 +1.5029e+00 +9.8479e-01 +5.7736e-01 +9.9469e-02 +1.7104e+00 +1.3769e+00 +1.9556e+00 +3.2472e-01 +5.6162e-02 +4.9322e-01
